match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
7904214004,6650660853,False,1724063888,1971,7,22,51,5,223,"[86, 14, 94, 57, 40]","[63, 13, 102, 11, 71]"
7904213806,6650659560,True,1724063878,1891,7,22,31,5,182,"[36, 32, 86, 88, 111]","[39, 8, 104, 84, 108]"
7904213802,6650660583,True,1724063874,1955,7,22,12,3,227,"[29, 12, 51, 86, 36]","[14, 88, 9, 72, 128]"
7904213716,6650660959,False,1724063868,1952,7,22,42,4,184,"[110, 30, 114, 102, 104]","[13, 97, 34, 8, 71]"
7904213012,6650661075,False,1724063818,2029,7,22,25,3,182,"[129, 1, 112, 53, 7]","[33, 11, 114, 42, 96]"
7904212811,6650659508,True,1724063824,1930,7,22,52,5,151,"[27, 39, 69, 101, 70]","[35, 123, 29, 112, 15]"
7904212810,6650659990,True,1724063824,1967,7,22,43,2,273,"[31, 70, 2, 26, 9]","[25, 23, 19, 11, 44]"
7904212409,6650661056,False,1724063798,2085,7,22,34,5,182,"[34, 37, 8, 75, 97]","[128, 44, 135, 53, 126]"
7904211909,6650660407,True,1724063773,2002,7,22,61,5,151,"[53, 126, 102, 34, 94]","[129, 119, 106, 9, 123]"
7904211906,6650659811,False,1724063768,1999,7,22,35,2,193,"[14, 93, 59, 61, 48]","[71, 40, 25, 100, 38]"
7904223602,6650661258,False,1724064410,1446,7,22,44,3,151,"[128, 86, 16, 44, 75]","[39, 111, 138, 59, 84]"
7904217617,6650661365,True,1724064083,1769,7,22,54,4,274,"[86, 14, 56, 75, 61]","[96, 95, 47, 123, 30]"
7904215401,6650661249,True,1724063964,1895,7,22,62,6,227,"[129, 17, 20, 44, 87]","[10, 25, 128, 9, 120]"
7904214503,6650661371,True,1724063903,1954,7,22,23,4,183,"[18, 57, 63, 98, 11]","[110, 27, 104, 44, 50]"
7904215602,6650661458,False,1724063978,1914,7,22,54,4,153,"[19, 77, 68, 86, 9]","[64, 10, 135, 126, 14]"
7904215011,6650661547,False,1724063934,1955,7,22,61,6,225,"[14, 106, 30, 97, 42]","[67, 2, 98, 74, 86]"
